,State,Job,Companies,Location,Summary,Salary,Links,Post_Date,og_salary_period
83, kerala,machine learning engineer,compugence,ernakulam  kerala,candidate should be experienced in tensor flow  ssd  python  aws rekognition based platforms  prior experience in working on image processing from live video…,,/company/CompuGence/jobs/Machine-Learning-Engineer-580c49742b84fb23?fccid=90a5c30d02597e4d&vjs=3,08-26-2022,
84, kerala,data science internship,oracuz infotech,thiruvananthapuram  kerala,view all oracuz infotech jobs   thiruvananthapuram jobs salary search: data science internship salaries in thiruvananthapuram  kerala,,/company/Oracuz-InfoTech/jobs/Data-Science-Internship-6057e7a3ad3d0a9d?fccid=bdd219ff201196af&vjs=3,08-28-2022,
87, karnataka,ai ml architect,kaleyra,bengaluru  karnataka,identifies gaps  inefficiencies and potential risks in existing data management processes  participates in designing blueprints on how to structure  store and…,,/rc/clk?jk=e8f35e8502c90ea5&fccid=3519e1f22044b98a&vjs=3,08-26-2022,
88, karnataka,sr machine learning engineer,alphanet solution,bengaluru  karnataka,streamlining data processing pipeline with airflow  snowflake  aws s3   etc  comfortable programming  very comfortable debugging model  analytics  data…,,/company/Alphanet-Solution/jobs/Senior-Machine-Learning-Engineer-31aa8ffde5c14df5?fccid=84305eae22afbe63&vjs=3,08-26-2022,
89, telangana,junior data scientist,risk edge solutions,hyderabad  telangana,processing  cleansing  and verifying the integrity of data used for analysis  experience with data visualization tools  such as d3 js  ggplot  etc ,,/rc/clk?jk=29a02415660bab40&fccid=ff9e5682589566a1&vjs=3,08-25-2022,
90, karnataka,data scientist,navikenz,bengaluru  karnataka,assess the effectiveness of data sources and data gathering techniques and improve data collection methods  work closely with navikenz clients to identify areas…,,/rc/clk?jk=e20065999ca5a89a&fccid=dd616958bd9ddc12&vjs=3,08-25-2022,
91,remote,marketing data scientist,censius,remote,the role of the marketing data scientist is primarily to act as a liaison between a developer centric audience and our business ,,/rc/clk?jk=dc9a7718305fb6d9&fccid=ddc95af0a55efc64&vjs=3,08-25-2022,
92, karnataka,data scientist 5,oracle,bengaluru  karnataka,in the process data scientist would leverage his   her knowledge of statistical analysis and data visualization in coming up with the recommendations ,,/rc/clk?jk=ebc1427673bfecca&fccid=cd22d01053af7669&vjs=3,08-25-2022,
93, karnataka,data scientist  advanced,zebra technologies,remote in bengaluru  karnataka,enable upskill citizen data scientists   develops and applies customizations  improvements based on features data  based on novel and unique ideas ,,/rc/clk?jk=b467f5878502af0e&fccid=cc39af3a7bb5a4d8&vjs=3,08-25-2022,
94, karnataka,data scientist  ii,zebra technologies,bengaluru  karnataka,meet with customers and present data analysis and reports  also gather customer requirements relative to data analytics  data modeling  data visualization ,,/rc/clk?jk=931349c33f73ff80&fccid=cc39af3a7bb5a4d8&vjs=3,08-25-2022,
95, haryana,machine learning engineer,cargill,gurgaon  haryana,experience with data driven product development: analytics  a b testing  etc  work with multidisciplinary teams of data engineers  software engineers  data…,,/rc/clk?jk=6553278060c7e410&fccid=d7d9a8241ba2f3ec&vjs=3,08-25-2022,
96, karnataka,assistant manager   data science and analytics,unilever,bengaluru  karnataka,earlier experience in area of technical data management and reporting  throughout last few years  research development have been on their journey of “in silico first” by driving…,,/rc/clk?jk=c4333166673ef40a&fccid=37e886222e0cbb3a&vjs=3,08-25-2022,
97, karnataka,data science manager,zendrive,bengaluru  karnataka,you should be able to provide technical expertise in the activities in the data science workflow such as data analysis and visualization  feature engineering …,,/rc/clk?jk=3a8bee25e6c6803d&fccid=0a14c3b408cdb42b&vjs=3,08-25-2022,
98, karnataka,wavemaker | group head  data science,groupm,bengaluru  karnataka,perform hands on analysis of large volumes of data and across multiple data sets primarily using sql  big data technologies  python  r ,,/rc/clk?jk=6e5ed24c64369e55&fccid=feb484a8aef310be&vjs=3,08-25-2022,
99, karnataka,lead data scientist,navikenz,bengaluru  karnataka,lead a team of data scientists and ml engineers for program executions  utilize data visualization tools to deliver insights to stakeholders ,,/rc/clk?jk=e72d5bfa7cd21eda&fccid=dd616958bd9ddc12&vjs=3,08-25-2022,
100, maharashtra,big data engineer,nice software solutions,nagpur  maharashtra,create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader ,,/rc/clk?jk=9a209707c81bc2c3&fccid=745bb03577ad3aa2&vjs=3,08-25-2022,
101, karnataka,principal data scientist,navikenz,bengaluru  karnataka,work on lab management for enabling data scientist  data engineers to work on sandbox environment and drive knowledge enhancements ,,/rc/clk?jk=46321a26ba896f3b&fccid=dd616958bd9ddc12&vjs=3,08-25-2022,
102, telangana,software engineer  data science ,micron technology,hyderabad  telangana,design  architect  and develop a scalable and supportable data pipeline which includes data warehousing  data integration and etl processing ,,/rc/clk?jk=8d07e5f313865e1a&fccid=be240c643a8631c5&vjs=3,08-25-2022,
103, karnataka,computer scientist java data engineer,adobe,bengaluru  karnataka,proficiency in data structures and algorithms  4  years in design and development of large scale data driven systems  btech mtech ms in computer science ,,/rc/clk?jk=0a5da95eb9086646&fccid=f89deb5a97c7738a&vjs=3,08-25-2022,
104, karnataka,mdm data steward   analytics,hewlett packard enterprise,bengaluru  karnataka,collaborates with hpe it and eap functions to address any data quality resolution and data gaps  migrating to platforms etc ,,/rc/clk?jk=4a74c6fc49de3e4e&fccid=216eb700022de6f6&vjs=3,08-25-2022,
105, tamil nadu,junior data scientist  hyderabad or chennai ,roche,chennai  tamil nadu,work on data science and data engineering elements of ai ml projects  experience working with large  complex data using hadoop or spark or any other big data…,,/rc/clk?jk=531eb52566115b78&fccid=bca1c8ed48c3b338&vjs=3,08-25-2022,
106, karnataka,associate data scientist,navikenz,bengaluru  karnataka,work with the team on data sourcing and or developing data pipeline for the solutions  experience visualizing presenting data for stakeholders using: matplotlib…,,/rc/clk?jk=0ec04ad6c86ceab3&fccid=dd616958bd9ddc12&vjs=3,08-25-2022,
107, karnataka,staff data scientist,sixt india,bengaluru  karnataka,you will assist other engineers in designing the right data models  you have experience working with large amounts of real data with sql or nosql ,,/rc/clk?jk=0a38c6ef1c999775&fccid=02d9f415fafcdcf3&vjs=3,08-25-2022,
108, haryana,data scientist strategic pricing,cargill,gurgaon  haryana,develop scalable machine learning components to generalize models to other data sources and product groups  bachelor’s degree in data science math econometrics…,,/rc/clk?jk=a271199dbe8f99d5&fccid=d7d9a8241ba2f3ec&vjs=3,08-25-2022,
109, karnataka,analyst   analytics solutions,ckuens analytics,bengaluru  karnataka,proficient in understanding data structures  data management and manipulation techniques  designing and developing algorithms  mba from top business school ,,/rc/clk?jk=4b5f3a4e5e6af18c&fccid=dd616958bd9ddc12&vjs=3,08-25-2022,
110, maharashtra,analyst  analytics,mondelēz international,mumbai  maharashtra,using data analysis to make recommendations to analytic leaders  together with analytics team leaders you will support our business with excellent data models…,,/rc/clk?jk=c2e8b562423a74ef&fccid=0ba2244fbaa16b6c&vjs=3,08-25-2022,
111, uttar pradesh,business analyst   data science,genpact,noida  uttar pradesh, prepare data for processing by organizing information  checking for any inaccuracies  and adjusting and weighting the raw data ,,/rc/clk?jk=ac2937b3f38b649f&fccid=afe30394bfba1470&vjs=3,08-25-2022,
112, karnataka,business intelligence analyst  data analytics ,netapp,bengaluru  karnataka,review product features data sheets to perform feature parity analysis  2 3 years of relevant strategy consulting  business analysis  data analytics experience ,,/rc/clk?jk=3f93302580ec1f76&fccid=77cec2f25f9bd7ed&vjs=3,08-25-2022,
114, karnataka,academic counsellor  data scientist,acadshr,hsr layout  bengaluru  karnataka,experience   for academic counsellors  teaching assistants    minimum 2 years of experience required  teaching  training experience in data science is preferred…,,/rc/clk?jk=1db440a88fd67b6a&fccid=2dfb985b61c6de31&vjs=3,08-25-2022,
115, karnataka,assistant manager   analytics solutions,ckuens analytics,bengaluru  karnataka,proficient in understanding data structures  data management and manipulation techniques  designing and developing algorithms  mba from top business school ,,/rc/clk?jk=91410aa0fbcebdf5&fccid=dd616958bd9ddc12&vjs=3,08-25-2022,
116, karnataka,manager   analytics solutions,ckuens analytics,bengaluru  karnataka,high proficiency in understanding data structures  data management and manipulation techniques  designing and developing algorithms ,,/rc/clk?jk=ede6ceef3ba26ffe&fccid=dd616958bd9ddc12&vjs=3,08-25-2022,
117, maharashtra,asset management   business intelligence and advanced analyt   ,jpmorgan chase bank  n a ,mumbai  maharashtra,in depth data exploration and data mining to develop a deep understanding of client behavior  our work is a blend of strategy  technology  data analysis  and…,,/rc/clk?jk=2d7c7d270581efd8&fccid=aaf3b433897ea465&vjs=3,08-25-2022,
118, tamil nadu,analytics manager for cb analytics   reporting,wells fargo,sholinganallur  chennai  tamil nadu,ensures adherence to data management data governance regulations and policies  identifies and recommends internal and external data sources  compiles mines data…,,/rc/clk?jk=36f327e0a5707c04&fccid=78bbcd26e39621f5&vjs=3,08-25-2022,
119, uttarakhand,professor associate professor  assistant professor of data s   ,shivalik college,dehra dun  uttarakhand,tech  m  tech  and ph  d  with research experience  or b  tech and m  tech with industry experience  or b  tech and m  tech with teaching experience ,,/rc/clk?jk=0c5ef021726caf75&fccid=362ea7d39a0b2ee3&vjs=3,08-25-2022,
120, telangana,data science analyst expert   sr  associate,jpmorgan chase bank  n a ,hyderabad  telangana,be well versed in python  sql  and big data  cloudera  cloud  aws  environments  within our data consumption sourcing and product team  our data science analyst…,,/rc/clk?jk=e3edba10d0ce2880&fccid=aaf3b433897ea465&vjs=3,08-25-2022,
121, haryana,principal machine learning engineer   cdss,palo alto networks,gurgaon  haryana,be a technical leader to handle cloud deployment requirements from data scientists  develop and drive ml best practices and processes across the board ,,/rc/clk?jk=bb67f788f5e9fc16&fccid=0562f887e2bed9ea&vjs=3,08-25-2022,
122, haryana,senior manager   data science,amex,gurgaon  haryana,4  years’ experience in analytics or big data workstreams  experience with at least one of the data manipulations tools such as r  java  sql and sas is a must…,,/rc/clk?jk=69b3f6f9d4482435&fccid=f057e04c37cca134&vjs=3,08-25-2022,
123, maharashtra,manager  analytics,mondelēz international,mumbai  maharashtra,using data analysis to make recommendations to senior leaders  together with analytics team leaders you will support our business with excellent data models to…,,/rc/clk?jk=690f190bbd7aa253&fccid=0ba2244fbaa16b6c&vjs=3,08-25-2022,
